ts,brand,category,idtype_count,device_cummulative_cnts,,,,,,
6/14/2021,Daikin,Air conditioner,1,267,,,,,,
6/14/2021,Fujitsu,Air conditioner,1,29,,,,,,
6/14/2021,Midea,Air conditioner,1,773,,,,,,
6/14/2021,Mitsubishi,Air conditioner,1,1,,,,,,
6/14/2021,Samsung,Air conditioner,1,4,,,,,,
6/14/2021,Sensibo,Air conditioner,1,20,,,,,,
6/14/2021,Tado,Air conditioner,2,19,,,,,,
6/14/2021,Xiaomi,Air conditioner,1,3,,,,,,
6/14/2021,Amway,Air purifier,1,8,,,,,,
6/14/2021,Awair,Air purifier,1,102,,,,,,
6/14/2021,Blueair,Air purifier,1,94,,,,,,
6/14/2021,Brid,Air purifier,1,5,,,,,,
6/14/2021,Broadlink,Air purifier,1,1,,,,,,
6/14/2021,Coway,Air purifier,1,27,,,,,,
6/14/2021,Dyson,Air purifier,19,2285,,,,,,
6/14/2021,Levoit,Air purifier,1,115,,,,,,
6/14/2021,Molekule,Air purifier,1,195,,,,,,
6/14/2021,Philips,Air purifier,1,153,,,,,,
6/14/2021,RabbitAir,Air purifier,1,29,,,,,,
6/14/2021,Samsung,Air purifier,1,121,,,,,,
6/14/2021,Vocolinc,Air purifier,1,2,,,,,,
6/14/2021,Winix,Air purifier,1,308,,,,,,
6/14/2021,Xiaomi,Air purifier,1,250,,,,,,
6/14/2021,Arlo,Baby camera,1,224,,,,,,
6/14/2021,Binatone,Baby camera,1,329,,,,,,
6/14/2021,Cubo,Baby camera,1,28,,,,,,
6/14/2021,DophiGo,Baby camera,1,2,,,,,,
6/14/2021,Lollipop,Baby camera,1,53,,,,,,
6/14/2021,Miku,Baby camera,1,51,,,,,,
6/14/2021,Nanit,Baby camera,1,502,,,,,,
6/14/2021,Nooie,Baby camera,1,10,,,,,,
6/14/2021,Owlet,Baby camera,3,1773,,,,,,
6/14/2021,Philips,Baby camera,1,1,,,,,,
6/14/2021,Victure,Baby camera,1,95,,,,,,
6/14/2021,360,Camera,1,159,,,,,,
6/14/2021,2GIG,Camera,1,6,,,,,,
6/14/2021,360Eyes,Camera,1,753,,,,,,
6/14/2021,Amazon,Camera,6,38846,,,,,,
6/14/2021,Ambarella,Camera,1,59,,,,,,
6/14/2021,Amcrest,Camera,1,797,,,,,,
6/14/2021,Arlo,Camera,5,1769,,,,,,
6/14/2021,Axis,Camera,1,44,,,,,,
6/14/2021,Belkin,Camera,1,6,,,,,,
6/14/2021,Binatone,Camera,1,68,,,,,,
